item,itemLabel,startDate,endDate
Q8273178,Paul Chiu,1996-06-10,2000-05-20
Q13408439,Shea Jia-dong,2000-05-20,2000-10-06
,Yen Ching-chang,2000-10-06,2002-02-01
,Lee Yung-san,2002-02-01,2002-12-02
Q8997373,Lin Chuan,2002-12-02,2006-01-25
Q10919955,Joseph Lyu,2006-01-25,2006-07-04
Q8969782,Ho Chih-chin,2006-07-04,2008-03-14
Q27663188,Lee Ruey-tsang,2008-03-14,2008-05-20
Q11098108,Lee Sush-der,2008-05-20,2012-02-06
Q8991767,Christina Liu,2012-02-06,2012-05-31
Q16193401,Tseng Ming-chung,2012-05-31,2012-06-04
Q9093225,Chang Sheng-ford,2012-06-04,2016-05-20
Q16239906,Sheu Yu-jer,2016-05-20,2018-07-15
Q9340026,Su Jain-rong,2018-07-16,
