item,itemLabel,position,positionLabel,start,psid
Q104723309,Hua Jingqun,Q108022269,Minister of interior of Taiwan,2022-12-07,Q104723309-1D561350-8601-4CCB-A784-5C3F31FABE6C
Q114895959,May Lee,Q114895813,Chairperson of the Fair Trade Commission,2021-02-01,Q114895959-59A9B8A5-97A2-4BFC-9264-B16D46964CD9
Q11963553,Yang Chin-long,Q114895734,Governor of the Central Bank of the Republic of China,2018-02-26,Q11963553-83E33AE1-15D9-492C-AB42-73A2277AEFE4
Q15918515,Wang Mei-hua,Q114894847,Minister of Economic Affairs,2020-06-19,Q15918515-529CA06A-4D52-4BAF-8DE2-64BBEC9D40C6
Q16143196,Chang Tzi-chin,Q20789094,Minister of Environmental Protection Administration of the Executive Yuan,2019-01,Q16143196-882C9273-489E-4F0E-9F6D-4685418FF124
Q16150359,Shen Jong-chin,Q13644819,Vice Premier of the Republic of China,2020-06-19,Q16150359-61eca660-4d57-5e9c-5948-cae40b1daf3f
Q19825815,Chiu Kuo-cheng,Q21449248,Minister of National Defense of the Republic of China,2021-02-23,Q19825815-4b726bd2-482c-edbf-e7b7-7b883ef919c5
Q21934105,Huang Tien-mu,Q114895801,Chairperson of the Financial Supervisory Commission,2020-05-20,Q21934105-E0A72B7C-9649-4545-8F98-39E6F90C03BB
Q23894469,Feng Shih-kuan,Q114895418,Minister of Veterans Affairs,2019-08-05,Q23894469-EF627A79-82D3-4B5D-B3F4-36A99F0C3AF7
Q23954823,Pan Wen-chung,Q114894853,Minister of Education,2019-01-14,Q23954823-10491F09-0780-46C7-905B-4F9AB6FD0E0A
Q24053403,Chu Tzer-ming,Q114895411,"Minister of Budget, Accounting and Statistics",2016-05-20,Q24053403-0034934A-3F6D-485D-BAA7-64AE29381396
Q24851744,Wang Kwo-tsai,Q10876310,Minister of Transportation and Communications of the Republic of China,2021-04-20,Q24851744-F5ACC0C3-9987-4094-8125-610852411FB3
Q26265161,Wu Tsung-tsong,Q114894927,Minister of Science and Technology,2020-05-20,Q26265161-399B88F5-3A98-432D-967E-CFF10EF00D25
Q27678861,Su Chun-jung,Q114895656,Minister of Personnel Administration,2022-02-11,Q27678861-3c38e4b2-41e3-ebe6-3feb-aabadacc42af
Q27735496,Kung Ming-hsin,Q114895586,Minister of National Development,2020-05-20,Q27735496-A4129643-EEC7-4529-8D07-3F0990ECE1F3
Q28416486,Chou Mei-wu,Q114895405,Minister of Ocean Affairs,2022-09-01,Q28416486-068CACC8-E0D5-40F6-9419-D6DA8EC32998
Q28416621,Hsieh Shou-shing,Q114895432,Minister of Atomic Energy,2016-05-20,Q28416621-B8ADE35F-8FFA-42C4-969D-D760E182A458
Q29952844,Wu Tze-cheng,Q114895726,Minister of Public Construction,2017-11-23,Q29952844-895BDE02-29DB-4FE1-B464-D447569111BD
Q38876935,Lee Meng-yen,Q15902915,Secretary General of the Executive Yuan,2019-01-14,Q38876935-46D7499E-5EBB-4F5B-BF7E-EB9C6445612F
Q40272747,Hsueh Jui-yuan,Q114894860,Minister of Health and Welfare,2022-07-18,Q40272747-440FE296-8B43-44BC-BB11-3CFE79A3E4B4
Q50170749,Hsu Ming-chun,Q114894866,Minister of Labor,2018-02-26,Q50170749-F62A2C12-3AF7-418B-A893-9461588DDBC1
Q551904,Su Tseng-chang,Q702650,Premier of the Republic of China,2019-01-14,Q551904-dd5833ac-4e09-4e22-0885-e0bd801aa8a3
Q55505798,Tsai Ching-hsiang,Q106361604,Minister of Justice,2018-07-16,Q55505798-6844B6A3-DF87-4061-B814-0DE800B441B1
Q60431375,Chen Chi-chung,Q114895338,Minister of Agriculture,2019-01-14,Q60431375-26CAE934-8F1B-454F-9DA5-20E4F9B5E0D6
Q6288088,Joseph Wu,Q2482650,Minister of Foreign Affairs of the Republic of China,2018-02-26,Q6288088-8837156E-813B-4F46-A2F5-2D432F3EB6F0
Q8349734,Lee Chin-yung,Q114895807,Chairperson of the Central Election Commission,2019-02-25,Q8349734-97F230FA-4D14-4A28-96CF-47C129FEA34D
Q8350030,Icyang Parod,Q60595885,Minister of Indigenous Affairs,2016-05-20,Q8350030-c105a01e-4735-59c0-c2a8-edcfbadc35c8
Q8350699,Yiong Con-ziin,Q114894998,Minister of Hakka Affairs,2020-05-20,Q8350699-2387BFA8-2266-4737-9AAC-B613C5DD6EB9
Q8357028,Chiu Tai-san,Q114895384,Minister of Mainland Affairs,2021-02-23,Q8357028-190BC4BA-C5B8-4839-B207-348F8B49AF4B
Q85133282,Chen Yaw-shyang,Q114895780,Chairperson of the National Communications Commission,2020-07-10,Q85133282-bf99e590-43bb-6b2f-0910-71013f8e2a9b
Q9055323,Wu Mi-cha,Q114895828,Director of the National Palace Museum,2019-02-15,Q9055323-1F44D94D-EA55-48DC-BC67-7C1228BB8503
Q9206928,Lee Yung-te,Q114894988,Minister of Culture,2020-05-20,Q9206928-EF3942C3-CE81-4FA7-92C7-21A506E5F83B
Q9322496,Tung Chen-yuan,Q114895676,Minister of Overseas Community Affairs,2020-05-20,Q9322496-134930a8-4d28-819d-af2b-7a30dfc8231e
Q15025,Audrey Tang,Q113630396,Minister of Digital Affairs,2022-08-27,Q15025-4c468162-4c8d-1025-15f3-31140ec8d542
